outcome,weight_class,f1_name,f2_name,winner,loser,method,method_details,end_round,time,total_time
win,Lightweight,dustin poirier,conor mcgregor,dustin poirier,conor mcgregor,KO/TKO,,1,5:00,300.0
win,Welterweight,gilbert burns,stephen thompson,gilbert burns,stephen thompson,U-DEC,,3,5:00,900.0
win,Heavyweight,tai tuivasa,greg hardy,tai tuivasa,greg hardy,KO/TKO,Punch,1,1:07,67.0
win,Women's Bantamweight,irene aldana,yana santos,irene aldana,yana santos,KO/TKO,Punches,1,4:35,275.0
win,Bantamweight,sean o'malley,kris moutinho,sean o'malley,kris moutinho,KO/TKO,Punches,3,4:33,873.0
win,Welterweight,max griffin,carlos condit,max griffin,carlos condit,U-DEC,,3,5:00,900.0
win,Welterweight,michel pereira,niko price,michel pereira,niko price,U-DEC,,3,5:00,900.0
win,Featherweight,ilia topuria,ryan hall,ilia topuria,ryan hall,KO/TKO,Punches,1,4:47,287.0
win,Middleweight,dricus du plessis,trevin giles,dricus du plessis,trevin giles,KO/TKO,Punch,2,1:41,401.0
win,Women's Flyweight,jennifer maia,jessica eye,jennifer maia,jessica eye,U-DEC,,3,5:00,900.0
win,Middleweight,brad tavares,omari akhmedov,brad tavares,omari akhmedov,S-DEC,,3,5:00,900.0
win,Flyweight,zhalgas zhumagulov,jerome rivera,zhalgas zhumagulov,jerome rivera,SUB,Guillotine Choke,1,2:02,122.0
win,Lightweight,islam makhachev,thiago moises,islam makhachev,thiago moises,SUB,Rear Naked Choke,4,2:38,1058.0
win,Women's Bantamweight,miesha tate,marion reneau,miesha tate,marion reneau,KO/TKO,Elbows,3,1:53,713.0
win,Lightweight,mateusz gamrot,jeremy stephens,mateusz gamrot,jeremy stephens,SUB,Kimura,1,1:05,65.0
win,Middleweight,rodolfo vieira,dustin stoltzfus,rodolfo vieira,dustin stoltzfus,SUB,Rear Naked Choke,3,1:54,714.0
win,Featherweight,billy quarantillo,gabriel benitez,billy quarantillo,gabriel benitez,KO/TKO,Punches,3,3:40,820.0
win,Welterweight,daniel rodriguez,preston parsons,daniel rodriguez,preston parsons,KO/TKO,Punches,1,3:47,227.0
win,Women's Strawweight,amanda lemos,montserrat conejo ruiz,amanda lemos,montserrat conejo ruiz,KO/TKO,Punch,1,0:35,35.0
win,Bantamweight,sergey morozov,khalid taha,sergey morozov,khalid taha,U-DEC,,3,5:00,900.0
win,Flyweight,malcolm gordon,francisco figueiredo,malcolm gordon,francisco figueiredo,U-DEC,,3,5:00,900.0
win,Heavyweight,alan baudot,rodrigo nascimento,alan baudot,rodrigo nascimento,Overturned,Punches,2,1:29,389.0
win,Featherweight,lerone murphy,josh emmett,lerone murphy,josh emmett,U-DEC,,5,5:00,1500.0
win,Featherweight,pat sabatini,joanderson brito,pat sabatini,joanderson brito,U-DEC,,3,5:00,900.0
win,Bantamweight,changho lee,cortavious romious,changho lee,cortavious romious,KO/TKO,Elbows,2,3:48,528.0
win,Middleweight,brad tavares,gerald meerschaert,brad tavares,gerald meerschaert,U-DEC,,3,5:00,900.0
win,Flyweight,ode osbourne,luis gurule,ode osbourne,luis gurule,KO/TKO,Punch,2,1:54,414.0
win,Middleweight,torrez finney,robert valentin,torrez finney,robert valentin,S-DEC,,3,5:00,900.0
win,Women's Flyweight,dione barbosa,diana belbita,dione barbosa,diana belbita,SUB,Arm Triangle,1,4:13,253.0
win,Welterweight,rhys mckee,daniel frunza,rhys mckee,daniel frunza,KO/TKO,,1,5:00,300.0
win,Women's Strawweight,loma lookboonmee,istela nunes,loma lookboonmee,istela nunes,U-DEC,,3,5:00,900.0
win,Bantamweight,victor henry,pedro falcao,victor henry,pedro falcao,U-DEC,,3,5:00,900.0
win,Heavyweight,martin buday,uran satybaldiev,martin buday,uran satybaldiev,U-DEC,,3,5:00,900.0
win,Women's Strawweight,talita alencar,vanessa demopoulos,talita alencar,vanessa demopoulos,U-DEC,,3,5:00,900.0
